TRANSACTION_DT,Count(Distinct(CUSTOMER_NBR)),SALES
2017-11-04,38709,3761168.31
2017-11-05,19799,1952388.93
2017-11-06,28693,2497113.19
2017-11-07,29251,2698594.16
2017-11-08,27658,2540636.13
2017-11-09,30398,2793779.66
2017-11-10,37407,3637825.59
2017-11-11,44168,4312551.14
2017-11-12,33015,3136543.97
2017-11-13,36096,3187951.6
2017-11-14,28450,2710823.06
2017-11-15,31612,2932983.57
2017-11-16,30042,2823370.45
2017-11-17,36070,3319361.01
2017-11-18,38792,3830698.1
2017-11-19,23268,2277860.61
2017-11-20,33317,2964275.36
2017-11-21,46164,4182127.87
2017-11-22,44820,4005875.35
2017-11-23,11294,943257.56
2017-11-24,97756,9487785.26
2017-11-25,71555,6584344.3
2017-11-26,45471,4020045.59
2017-11-27,50846,4422941.34
2017-11-28,52119,4451511.24
2017-11-29,41773,3706371.2
2017-11-30,43346,3625301.98
2017-12-01,51091,4325063.14
2017-12-02,47146,4401103.14
2017-12-03,22191,2068469.81
2017-12-04,32125,2648383.19
2017-12-05,30875,2753395.02
2017-12-06,31480,2821457.54
2017-12-07,32964,3000131.91
2017-12-08,38724,3321355.97
2017-12-09,53566,4605023.51
2017-12-10,25114,2215902.79
2017-12-11,32515,2723926.11
2017-12-12,38828,3355619.18
2017-12-13,37301,3358022.78
2017-12-14,38546,3651350.73
2017-12-15,42956,3658787.41
2017-12-16,60895,5539303.07
2017-12-17,32430,2829456.42
2017-12-18,43825,3686441.55
2017-12-19,35736,3286203.9
2017-12-20,35648,3245747.67
2017-12-21,34687,3196622.9
2017-12-22,51415,5252026.08
2017-12-23,50716,5343014.7
2017-12-24,20190,2136116.15
2017-12-25,29,2622.71
2017-12-26,36611,3516065.2
2017-12-27,47962,4604616.01
2017-12-28,45215,4329162.95
2017-12-29,47955,4733018.6
2017-12-30,44337,4505574.17
2017-12-31,23755,2355709.08
2018-01-01,14351,1402024.59
2018-01-02,27068,2411939.46
2018-01-03,37263,3464753.84
2018-01-04,35769,3267914.49
2018-01-05,30864,2815612.69
2018-01-06,35858,3488163.27
2018-01-07,16954,1641117.66
2018-01-08,20478,1741697.15
2018-01-09,31806,2703608.05
2018-01-10,28786,2533161.56
2018-01-11,22410,2010301.0
2018-01-12,24649,2284896.83
2018-01-13,33563,3299778.29
2018-01-14,18708,1888003.86
2018-01-15,26434,2496656.1
2018-01-16,27273,2401679.42
2018-01-17,23179,2078758.34
2018-01-18,25494,2240091.33
2018-01-19,25604,2243543.41
2018-01-20,32359,2936753.65
2018-01-21,15151,1401714.19
2018-01-22,17235,1477930.31
2018-01-23,30106,2612140.08
2018-01-24,21704,2073990.27
2018-01-25,20520,1784478.47
2018-01-26,25612,2200800.99
2018-01-27,42751,3670250.09
2018-01-28,17830,1630559.85
2018-01-29,17313,1439753.59
2018-01-30,26156,2119984.72
2018-01-31,36208,2927847.91
2018-02-01,28180,2511033.01
2018-02-02,27772,2485387.61
2018-02-03,35431,3340464.05
2018-02-04,14088,1366986.41
2018-02-05,16138,1438438.27
2018-02-06,25399,2217633.98
2018-02-07,32102,2755867.22
2018-02-08,33679,3000865.81
2018-02-09,29792,2822755.97
2018-02-10,35339,3505591.94
2018-02-11,16726,1689542.66
2018-02-12,22875,2036743.63
2018-02-13,28480,2565904.13
2018-02-14,23858,2339121.82
2018-02-15,30925,2674138.91
2018-02-16,29734,2604505.91
2018-02-17,40703,3756373.57
2018-02-18,20218,1913048.83
2018-02-19,32580,2840613.1
2018-02-20,29325,2658169.19
2018-02-21,27173,2538737.38
2018-02-22,25079,2556394.03
2018-02-23,35019,3313467.99
2018-02-24,46585,4612244.02
2018-02-25,25361,2455086.09
2018-02-26,22994,2110250.07
2018-02-27,34350,2986598.25
2018-02-28,40009,3449142.09
2018-03-01,30561,2864680.16
2018-03-02,35326,3358936.34
2018-03-03,48721,4839894.95
2018-03-04,24373,2526654.37
2018-03-05,26617,2435046.47
2018-03-06,36500,3309123.73
2018-03-07,32646,2954806.33
2018-03-08,25817,2447067.93
2018-03-09,34901,3351458.4
2018-03-10,54838,5087620.14
2018-03-11,19556,1994646.92
2018-03-12,25163,2231208.76
2018-03-13,30996,2545314.94
2018-03-14,31939,2719521.7
2018-03-15,40484,3570026.01
2018-03-16,41507,4048727.87
2018-03-17,43800,4439480.18
2018-03-18,22580,2342162.89
2018-03-19,27171,2438815.21
2018-03-20,36692,3275320.81
2018-03-21,31975,2886902.52
2018-03-22,35623,3163695.67
2018-03-23,41712,3844790.03
2018-03-24,45894,4496834.74
2018-03-25,22376,2242483.95
2018-03-26,26874,2388552.62
2018-03-27,39684,3439131.24
2018-03-28,36686,3370358.5
2018-03-29,34280,3361815.4
2018-03-30,49748,4831426.26
2018-03-31,54332,5328993.7
2018-04-01,1407,134950.18
2018-04-02,39946,3527086.25
2018-04-03,37978,3340395.34
2018-04-04,37164,3339376.75
2018-04-05,34183,3108744.57
2018-04-06,34108,3024775.36
2018-04-07,41663,3866071.48
2018-04-08,21355,2030244.43
2018-04-09,22871,1908557.83
2018-04-10,38136,3164366.01
2018-04-11,27311,2558321.67
2018-04-12,26344,2717291.46
2018-04-13,29750,2968013.69
2018-04-14,36179,3790134.68
2018-04-15,16161,1692197.76
2018-04-16,21503,1905066.45
2018-04-17,33029,3047880.71
2018-04-18,25741,2384373.74
2018-04-19,31001,2795098.14
2018-04-20,35459,3229255.33
2018-04-21,43243,4129497.82
2018-04-22,19433,1863172.62
2018-04-23,22043,1977361.62
2018-04-24,37693,3385132.63
2018-04-25,31132,2908813.74
2018-04-26,28391,2647887.84
2018-04-27,33285,3246572.45
2018-04-28,41986,4288109.4
2018-04-29,22580,2324042.75
2018-04-30,28900,2666118.93
2018-05-01,37945,3567741.22
2018-05-02,37749,3733529.86
2018-05-03,34380,3425847.24
2018-05-04,36868,3594342.12
2018-05-05,40246,4163652.89
2018-05-06,19730,2084862.09
2018-05-07,29337,2692753.89
2018-05-08,37592,3385580.76
2018-05-09,30280,2848682.59
2018-05-10,29023,2769139.6
2018-05-11,39337,3838352.64
2018-05-12,61755,6457991.22
2018-05-13,18966,1978179.42
2018-05-14,25873,2319788.33
2018-05-15,41713,3849075.26
2018-05-16,42998,4047526.15
